Date : 2025-04-19 07:48:48
Directory : y:\github\webstress-api
Total : 247 files,  26871 codes, 859 comments, 3159 blanks, all 30889 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| y:\github\webstress-api\core\database\sales.go                          | Go                      |        110 |          0 |         14 |        124 |
| y:\github\webstress-api\core\database\site.go                           | Go                      |         90 |          0 |         14 |        104 |
| y:\github\webstress-api\core\database\ticket.go                         | Go                      |        257 |         12 |         53 |        322 |
| y:\github\webstress-api\core\database\user.go                           | Go                      |        327 |         12 |         44 |        383 |
| y:\github\webstress-api\core\footer.html                                | HTML                    |         12 |          4 |          2 |         18 |
| y:\github\webstress-api\core\init.go                                    | Go                      |         67 |          0 |          6 |         73 |
| y:\github\webstress-api\core\master\admin\UserList.go                   | Go                      |         42 |          0 |          3 |         45 |
| y:\github\webstress-api\core\master\admin\dashV2.go                     | Go                      |         42 |          0 |          3 |         45 |
| y:\github\webstress-api\core\master\admin\edit.go                       | Go                      |         42 |          0 |          3 |         45 |
| y:\github\webstress-api\core\master\admin\middleware.go                 | Go                      |          6 |          0 |          3 |          9 |
| y:\github\webstress-api\core\master\admin\route.go                      | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\admin\servers.go                    | Go                      |         42 |          0 |          3 |         45 |
| y:\github\webstress-api\core\master\admin\settings.go                   | Go                      |         54 |          0 |          3 |         57 |
| y:\github\webstress-api\core\master\admin\ticket.go                     | Go                      |         42 |          0 |          3 |         45 |
| y:\github\webstress-api\core\master\admin\tickets.go                    | Go                      |         42 |          0 |          3 |         45 |
| y:\github\webstress-api\core\master\api\account\route.go                | Go                      |          7 |          0 |          3 |         10 |
| y:\github\webstress-api\core\master\api\admin\adminData.go              | Go                      |         83 |          1 |          5 |         89 |
| y:\github\webstress-api\core\master\api\admin\adminGetUser.go           | Go                      |         49 |          0 |          6 |         55 |
| y:\github\webstress-api\core\master\api\admin\adminRemoveBlacklist.go   | Go                      |         48 |         11 |          7 |         66 |
| y:\github\webstress-api\core\master\api\admin\adminSettings.go          | Go                      |         88 |          9 |         14 |        111 |
| y:\github\webstress-api\core\master\api\admin\adminTickets.go           | Go                      |         58 |          1 |          4 |         63 |
| y:\github\webstress-api\core\master\api\admin\adminUpdateNews.go        | Go                      |         42 |          0 |          4 |         46 |
| y:\github\webstress-api\core\master\api\admin\adminUpdateTIcket.go      | Go                      |         44 |          3 |          6 |         53 |
| y:\github\webstress-api\core\master\api\admin\adminUpdateUser.go        | Go                      |         81 |          5 |          9 |         95 |
| y:\github\webstress-api\core\master\api\admin\adminUserList.go          | Go                      |         68 |          0 |          4 |         72 |
| y:\github\webstress-api\core\master\api\admin\route.go                  | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\api\attacks\route.go                | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\api\attacks\start.go                | Go                      |        213 |         21 |         12 |        246 |
| y:\github\webstress-api\core\master\api\attacks\stop.go                 | Go                      |         64 |          0 |          9 |         73 |
| y:\github\webstress-api\core\master\api\attacks\stopAll.go              | Go                      |         16 |          0 |          3 |         19 |
| y:\github\webstress-api\core\master\api\attacks\validate.go             | Go                      |        141 |         10 |         20 |        171 |
| y:\github\webstress-api\core\master\api\dashboard\dashboardAddons.go    | Go                      |         40 |          0 |          5 |         45 |
| y:\github\webstress-api\core\master\api\dashboard\dashboardAttacks.go   | Go                      |         40 |          0 |          5 |         45 |
| y:\github\webstress-api\core\master\api\dashboard\dashboardData.go      | Go                      |        193 |          0 |          2 |        195 |
| y:\github\webstress-api\core\master\api\dashboard\dashboardPlans.go     | Go                      |         50 |          0 |          5 |         55 |
| y:\github\webstress-api\core\master\api\dashboard\route.go              | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\api\dashboard\userInfo.go           | Go                      |         25 |          2 |          4 |         31 |
| y:\github\webstress-api\core\master\api\manager\api.go                  | Go                      |         51 |          1 |          9 |         61 |
| y:\github\webstress-api\core\master\api\manager\route.go                | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\api\manager\whitelist.go            | Go                      |          8 |          0 |          3 |         11 |
| y:\github\webstress-api\core\master\api\panel\attackMethods.go          | Go                      |         76 |          0 |          3 |         79 |
| y:\github\webstress-api\core\master\api\panel\attackRunning.go          | Go                      |         62 |          0 |          4 |         66 |
| y:\github\webstress-api\core\master\api\panel\route.go                  | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\api\payments\addons.go              | Go                      |         74 |          1 |         12 |         87 |
| y:\github\webstress-api\core\master\api\payments\create.go              | Go                      |         57 |          3 |          7 |         67 |
| y:\github\webstress-api\core\master\api\payments\get.go                 | Go                      |         49 |          0 |          3 |         52 |
| y:\github\webstress-api\core\master\api\payments\purchase.go            | Go                      |         43 |          0 |          4 |         47 |
| y:\github\webstress-api\core\master\api\payments\route.go               | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\api\payments\transaction.go         | Go                      |         69 |          4 |          6 |         79 |
| y:\github\webstress-api\core\master\api\payments\webhook.go             | Go                      |        337 |          1 |          6 |        344 |
| y:\github\webstress-api\core\master\api\route.go                        | Go                      |         27 |          0 |          5 |         32 |
| y:\github\webstress-api\core\master\api\status.go                       | Go                      |         74 |          0 |          5 |         79 |
| y:\github\webstress-api\core\master\api\tickets\getMessages.go          | Go                      |         64 |          4 |         10 |         78 |
| y:\github\webstress-api\core\master\api\tickets\getTicket.go            | Go                      |         48 |          3 |          2 |         53 |
| y:\github\webstress-api\core\master\api\tickets\route.go                | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\api\tickets\ticket.go               | Go                      |         48 |          6 |          6 |         60 |
| y:\github\webstress-api\core\master\api\tickets\ticketNew.go            | Go                      |         48 |          4 |          7 |         59 |
| y:\github\webstress-api\core\master\api\tickets\updateTIcket.go         | Go                      |         51 |          4 |         10 |         65 |
| y:\github\webstress-api\core\master\authentication\login.go             | Go                      |         32 |          0 |          4 |         36 |
| y:\github\webstress-api\core\master\authentication\logout.go            | Go                      |         30 |          0 |          6 |         36 |
| y:\github\webstress-api\core\master\authentication\route.go             | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\authentication\signup.go            | Go                      |         16 |          0 |          5 |         21 |
| y:\github\webstress-api\core\master\dashboard\account.go                | Go                      |         38 |          0 |          3 |         41 |
| y:\github\webstress-api\core\master\dashboard\addons.go                 | Go                      |         38 |          0 |          3 |         41 |
| y:\github\webstress-api\core\master\dashboard\api.go                    | Go                      |         48 |          0 |          3 |         51 |
| y:\github\webstress-api\core\master\dashboard\attack.go                 | Go                      |         36 |          0 |          3 |         39 |
| y:\github\webstress-api\core\master\dashboard\deposit.go                | Go                      |         38 |          0 |          4 |         42 |
| y:\github\webstress-api\core\master\dashboard\faq.go                    | Go                      |         39 |          0 |          4 |         43 |
| y:\github\webstress-api\core\master\dashboard\route.go                  | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\dashboard\ticket.go                 | Go                      |         38 |          0 |          3 |         41 |
| y:\github\webstress-api\core\master\dashboard\tickets.go                | Go                      |         38 |          0 |          3 |         41 |
| y:\github\webstress-api\core\master\dashboard\transaction.go            | Go                      |         38 |          0 |          4 |         42 |
| y:\github\webstress-api\core\master\dashboard\upgrade.go                | Go                      |         38 |          0 |          4 |         42 |
| y:\github\webstress-api\core\master\dashboard\user.go                   | Go                      |         41 |          2 |          3 |         46 |
| y:\github\webstress-api\core\master\error.go                            | Go                      |          7 |          1 |          3 |         11 |
| y:\github\webstress-api\core\master\internal\login.go                   | Go                      |         72 |          0 |         11 |         83 |
| y:\github\webstress-api\core\master\internal\signup.go                  | Go                      |        156 |          7 |         19 |        182 |
| y:\github\webstress-api\core\master\landing\landing.go                  | Go                      |         29 |          0 |          3 |         32 |
| y:\github\webstress-api\core\master\landing\route.go                    | Go                      |          5 |          0 |          3 |          8 |
| y:\github\webstress-api\core\master\newV2.go                            | Go                      |         34 |          0 |          5 |         39 |
| y:\github\webstress-api\core\master\sessions\check.go                   | Go                      |         33 |          0 |          5 |         38 |
| y:\github\webstress-api\core\master\sessions\flash.go                   | Go                      |         70 |          4 |         11 |         85 |
| y:\github\webstress-api\core\master\sessions\session.go                 | Go                      |         19 |          2 |          6 |         27 |
| y:\github\webstress-api\core\models\antiflood\context.go                | Go                      |         12 |          0 |          5 |         17 |
| y:\github\webstress-api\core\models\antiflood\limiter.go                | Go                      |        175 |          0 |         42 |        217 |
| y:\github\webstress-api\core\models\antiflood\new.go                    | Go                      |        114 |          8 |         22 |        144 |
| y:\github\webstress-api\core\models\apis\api.go                         | Go                      |        122 |          6 |         14 |        142 |
| y:\github\webstress-api\core\models\apis\method.go                      | Go                      |          4 |          0 |          2 |          6 |
| y:\github\webstress-api\core\models\config.go                           | Go                      |         54 |          0 |          3 |         57 |
| y:\github\webstress-api\core\models\floods\attack.go                    | Go                      |         26 |          0 |          4 |         30 |
| y:\github\webstress-api\core\models\floods\launch.go                    | Go                      |          4 |          0 |          2 |          6 |
| y:\github\webstress-api\core\models\floods\method.go                    | Go                      |         19 |          0 |          4 |         23 |
| y:\github\webstress-api\core\models\functions\query.go                  | Go                      |         55 |          4 |          9 |         68 |
| y:\github\webstress-api\core\models\functions\render.go                 | Go                      |         77 |          4 |         12 |         93 |
| y:\github\webstress-api\core\models\functions\term.go                   | Go                      |         55 |          8 |          9 |         72 |
| y:\github\webstress-api\core\models\functions\toastr.go                 | Go                      |         10 |          0 |          4 |         14 |
| y:\github\webstress-api\core\models\functions\writer.go                 | Go                      |         13 |          0 |          3 |         16 |
| y:\github\webstress-api\core\models\log\log.go                          | Go                      |         74 |          2 |         10 |         86 |
| y:\github\webstress-api\core\models\plans\addons.go                     | Go                      |         10 |          0 |          2 |         12 |
| y:\github\webstress-api\core\models\plans\general.go                    | Go                      |          6 |          0 |          2 |          8 |
| y:\github\webstress-api\core\models\plans\limits.go                     | Go                      |          8 |          0 |          2 |         10 |
| y:\github\webstress-api\core\models\plans\plan.go                       | Go                      |         10 |          0 |          2 |         12 |
| y:\github\webstress-api\core\models\plans\vars.go                       | Go                      |          7 |          0 |          2 |          9 |
| y:\github\webstress-api\core\models\ranks\func.go                       | Go                      |          9 |          0 |          4 |         13 |
