"filename", "language", "Go Checksum File", "Go", "HTML", "Go Module File", "Markdown", "MS SQL", "sqlite3-editor-database", "JSON", "Python", "CSS", "JavaScript", "comment", "blank", "total"
"y:\github\webstress-api\core\master\admin\servers.go", "Go", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"y:\github\webstress-api\core\master\admin\settings.go", "Go", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"y:\github\webstress-api\core\master\admin\ticket.go", "Go", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"y:\github\webstress-api\core\master\admin\tickets.go", "Go", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"y:\github\webstress-api\core\master\api\account\route.go", "Go", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"y:\github\webstress-api\core\master\api\admin\adminData.go", "Go", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 89
"y:\github\webstress-api\core\master\api\admin\adminGetUser.go", "Go", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"y:\github\webstress-api\core\master\api\admin\adminRemoveBlacklist.go", "Go", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 66
"y:\github\webstress-api\core\master\api\admin\adminSettings.go", "Go", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 111
"y:\github\webstress-api\core\master\api\admin\adminTickets.go", "Go", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 63
"y:\github\webstress-api\core\master\api\admin\adminUpdateNews.go", "Go", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 46
"y:\github\webstress-api\core\master\api\admin\adminUpdateTIcket.go", "Go", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 53
"y:\github\webstress-api\core\master\api\admin\adminUpdateUser.go", "Go", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 95
"y:\github\webstress-api\core\master\api\admin\adminUserList.go", "Go", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 72
"y:\github\webstress-api\core\master\api\admin\route.go", "Go", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"y:\github\webstress-api\core\master\api\attacks\route.go", "Go", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"y:\github\webstress-api\core\master\api\attacks\start.go", "Go", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 12, 246
"y:\github\webstress-api\core\master\api\attacks\stop.go", "Go", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 73
"y:\github\webstress-api\core\master\api\attacks\stopAll.go", "Go", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"y:\github\webstress-api\core\master\api\attacks\validate.go", "Go", 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 20, 171
"y:\github\webstress-api\core\master\api\dashboard\dashboardAddons.go", "Go", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"y:\github\webstress-api\core\master\api\dashboard\dashboardAttacks.go", "Go", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
